Titel in Originalschrift,Titel,Person/Institution,Weitere Beteiligte,Verantwort.angabe,Quelle,Werktitel,Ort/Verlag,Jahr/Datierung,Weitere Angaben,Umfang/Illustr./Format,Verknüpfte Titel,Sprache,Jahr/Datierung,Weitere Titel,Ausgabe,Schlagwörter,Regensburger Verbundklassifikation,Basisklassifikation,Ordnungsgruppe,ISBN/ISSN/ISMN,Beschreibung,Einzelbände/Artikel,Linksammlung,Standort,Signaturen,Zum Inhalt,Incipit/Explicit,lds49,Univ. Angaben,Signatur/Inv-Nr. etc.,Bestandsangabe,Verfügbarkeit,Unselbst. Werk / Artikel,Bandangaben,Benutzungsrechte,Hinweis,Vorgänger/Nachfolger etc.,Zitierlink,Zitierlink,Permalink
,Il sorriso della sfinge : racconti,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Gargano, Antonella [ÜbersetzerIn] ",Ingeborg Bachmann. Trad. di Antonella Gargano,,,Roma : Lucarini,1991,,104 S.,,Italienisch,,Gesamttitel: Il labirinto 44,1. ed..,,,,,ISBN: 8870335186,,,,,,,,,,,,,,,,,,,http://data.onb.ac.at/rec/AC00508310,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma71393939490003338&context=L&vid=ONB&lang=de_DE
,Die Hörspiele,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München : Piper,1976,,171 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 139,,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492004393,Enth.: Ein Geschäft mit Träumen. Die Zikaden *Der gute Gott von Manhattan,,,,,,,,,1066899-B.139 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC00875098,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218164940003338&context=L&vid=ONB&lang=de_DE
,Der gute Gott von Manhattan;Weitere Titel:  Die Zikaden / zwei Hörspiele / Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,,,,München : Dt. Taschenbuch-Verl.,1963,,141 S.,,Deutsch,,Gesamttitel: Dtv 14 : Sonderreihe,Ungekürzte Ausg..,Hörspiel,,,,,,,,,,,,,,"953948-B.A,14 NEU PER",,,,,,,,,http://data.onb.ac.at/rec/AC01057375,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218162830003338&context=L&vid=ONB&lang=de_DE
,Frankfurter Vorlesungen : Probleme zeitgenössischer Dichtung,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2011,,125 S.,,Deutsch,,Gesamttitel: Serie Piper 7203,"Ungekürzte Taschenbuchausg., 1. Aufl..",Literaturtheorie,GN 2947,17.73 - Literaturtheorie: Allgemeines;18.10 - Deutsche Literatur,,ISBN: 9783492272032; ISBN: 3492272037,"Anmerkungen:  Hier auch später erschienene, unveränderte Nachdrucke (2. Aufl. 2021) ",,,,,,,,,1952091-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08521950,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21327152740003338&context=L&vid=ONB&lang=de_DE
,El tiempo postergado,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Parada, Arturo [ÜbersetzerIn] ",Ingeborg Bachmann. Trad. de Arturo Parada,,,Madrid : Cátedra,1991,,63 S.,,Spanisch,,Gesamttitel:  Poesía Cátedra,,,,,,ISBN: 8437610036,,,,,,,,,,1430807-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00928669,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21336961000003338&context=L&vid=ONB&lang=de_DE
,Songs in flight : the collected poems of Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Filkins, Peter [ÜbersetzerIn] ",transl. & introd. by Peter Filkins,,,"New York, NY : Marsilio",1994,,"XXXVI, 337 S.; 21 cm",,Deutsch;Englisch,,,Bilingual ed..,,GN 2948,,,ISBN: 1568860102; ISBN: 1568860099,Text dt. u. engl.;Anmerkungen:  Bibliogr. I. Bachmann u. Literaturverz. S. 335 - 337 ,,,,,,,,,1498826-B HAN MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01460001,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339386640003338&context=L&vid=ONB&lang=de_DE
,Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,,,,[Esslingen] : [Volkshochsch.],2003,,"[24] S.; Ill., Notenbeisp.; 21 cm",,Deutsch,,"Gesamttitel: Edition ""Lyrik-Bühne"" 32",,,,,,,Anmerkungen:  Bibliogr. I. Bachmann S. [25] ,,,,,,,,,1721944-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03761652,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21357969080003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Boehm, Philip [ÜbersetzerIn] ",Ingeborg Bachmann ; translated by Philip Boehm,,,London : Penguin Classics,2019,,283 Seiten,,Englisch,,,First published.,Fiktionale Darstellung ; Roman,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9780241366240,,,,,,,,,,2143129-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15389334,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21406850350003338&context=L&vid=ONB&lang=de_DE
,"Die Wahrheit ist dem Menschen zumutbar : Essays, Reden, kleinere Schriften","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2003,,187 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 3987,Ungek. Taschenbuchausg..,"Bachmann, Ingeborg, 1926-1973;Aufsatzsammlung",GN 2947;GN 2946,,,ISBN: 3492239870,Anmerkungen:  Früher als: Serie Piper ; 218 ,,,,,,,,,1721633-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03934207,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21360088660003338&context=L&vid=ONB&lang=de_DE
,Die gestundete Zeit : Gedichte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,Frankfurt a. M. : Frankfurter Verl.-Anst.,1953,,60 S.,,Deutsch,,Gesamttitel: Studio Frankfurt 12,,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,,,,,,,,,,,869524-A.12 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC00024358,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218160750003338&context=L&vid=ONB&lang=de_DE
,Anrufung des großen Bären,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München : Piper,1956,,85 S.,,Deutsch,,,,,,,,,,,,,,,,,,882260-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01058455,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218163670003338&context=L&vid=ONB&lang=de_DE
,Simultan : neue Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München : Piper,1972,,233 S.; 21 cm,,Deutsch,,,,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492019315,,,,,,,,,,1092639-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00024357,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218165390003338&context=L&vid=ONB&lang=de_DE
,"Il dicibile e l'indicibile : saggi radiofonici","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Agnese, Barbara [ÜbersetzerIn] ",Ingeborg Bachmann. [Trad. di Barbara Agnese],,Sagbares und Unsagbares,Milano : Adelphi Ed.,2009,,154 S.,,Italienisch,,Gesamttitel: Piccola biblioteca Adelphi 412,4. ed..,Essay;Deutsch o;Italienisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9788845913907,,,,,,,,,,1915897-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC07926370,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21227752580003338&context=L&vid=ONB&lang=de_DE
,Il buon dio di Manhattan;Weitere Titel:  Un negozio di sogni. Le cicale / Ingeborg Bachmann. A cura e con un saggio di Cinzia Romani,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Romani, Cinzia [HerausgeberIn] ",,,Der gute Gott von Manhattan,Milano : Adelphi Ed.,1999,,194 S.,,Italienisch,,Gesamttitel: Piccola biblioteca Adelphi 270,2. ed..,Hörspiel;Italienisch ü;Deutsch o,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 8845908216,Anmerkungen:  Einheitssacht. d. beigef. Werke: Ein Geschäft mit Träumen. Die Zikaden ,,,,,,,,,1915880-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03235489,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21226688390003338&context=L&vid=ONB&lang=de_DE
,Sämtliche Gedichte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,1987,,229 S.; 21 cm,,Deutsch,,,"2. Aufl., 11. - 16. Tsd..","Lyrik;Bachmann, Ingeborg, 1926-1973;Edition",GN 2947;GN 2946,17.83 - Lyrik;18.08 - Deutsche Sprache und Literatur,,ISBN: 3492028314,,,,,,,,,,1924326-B HAN MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08073665,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21274939990003338&context=L&vid=ONB&lang=de_DE
,Sämtliche Gedichte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2004,Früher als: Serie Piper ; 3985,229 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 4106,Jub.-Ed..,Gedicht,GN 2947,,,ISBN: 3492241069,,,,,,,,,,1743944-B NEU MAG,,,,,,,Früher als: Serie Piper ; 3985,,http://data.onb.ac.at/rec/AC04232642,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21363339200003338&context=L&vid=ONB&lang=de_DE
,Das Honditschkreuz,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,1983,,114 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 295,,,GN 2947,,,ISBN: 3492005950,,,,,,,,,,1066899-B.295 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC01057192,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337280850003338&context=L&vid=ONB&lang=de_DE
,Requiem pour Fanny Goldmann : roman inachevé,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Couffon, Miguel [ÜbersetzerIn] ","Ingeborg Bachmann. Trad. de l'allemand par Miguel Couffon",,Requiem für Fanny Goldmann,Arles : Actes Sud,1987,,78 S.; 19 cm,,Französisch,,,,,,,,ISBN: 2868691323,,,,,,,,,,1278022-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01057685,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337291550003338&context=L&vid=ONB&lang=de_DE
,Last living words : the Ingeborg Bachmann reader,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Friedberg, Lilian M. [ÜbersetzerIn] ;Lorenz, Dagmar C. G., 1948- [VerfasserIn eines Vorworts] ",transl. from the German by Lilian Friedberg. With a critical introd. by Dagmar C. G. Lorenz,,,København [u.a.] : Green Integer,2005,,363 S.; 16 cm,,Englisch,,Last living words - The Ingeborg Bachmann reader;Gesamttitel: Green Integer 136,1. Green Integer ed..,,,,,ISBN: 1933382120,,,,,,,,,,1814215-A NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05393359,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21363520500003338&context=L&vid=ONB&lang=de_DE
,Die Radiofamilie,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","McVeigh, Joseph [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. und mit einem Nachw. von Joseph McVeigh,,,Berlin : Suhrkamp,2012,,410 S.; Ill.; 18 cm,,Deutsch,,Gesamttitel: Suhrkamp Taschenbücher 4361,1. Aufl..,Drama;Deutsch,GN 2947,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9783518463611; ISBN: 3518463616,Anmerkungen:  Literaturverz. S. 405 - 410 ,,,,,,,,,1981183-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC09369596,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21386731740003338&context=L&vid=ONB&lang=de_DE
,Al- ʾĀm aṯ- ṯalāṯūn : qiṣaṣ,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Ṣāliḥ, Sālima [ÜbersetzerIn] ",Inġibūrġ Bāẖmān. Tarǧama: Sālima Ṣāliḥ,,,Kūlūniyā : Manšūrāt al-Ǧamal,1998,,184 S.; 22 cm,,Arabisch,,,Aṭ-Ṭabʾa 1.,,,,,,,,,,,,,,,1740738-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04067576,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21361435620003338&context=L&vid=ONB&lang=de_DE
,Invocación a la Osa Mayor : edición bilingue,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Dreymüller, Cecilia [ÜbersetzerIn] ",Ingeborg Bachmann. Trad. y pref. de Cecilia Dreymüller ...,,Anrufung des großen Bären,Madrid : Ed. Hiperión,2001,,179 S.; Ill.,,Spanisch;Deutsch,,Gesamttitel: Poesía Hiperión 395,1. ed..,,,,,ISBN: 8475176860,Texte dt. und span.,,,,,,,,,1697407-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03236805,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21357648100003338&context=L&vid=ONB&lang=de_DE
,Nepoznám iný lepší svet : (výber z pozostalosti),"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Haugová, Míla [ÜbersetzerIn] ",Ingeborg Bachmann. Preložila Míla Haugová,,Ich weiß keine bessere Welt,Bratislava : Drewo a srd,2002,,151 S.; Ill.,,Slowakisch,,Gesamttitel:  Edícia Poézia,Vyd. 1.,,,,,ISBN: 8088965667,,,,,,,,,,1749450-A NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04309069,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21364293600003338&context=L&vid=ONB&lang=de_DE
ジムルターン,Jimurutân : = Simultan,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Ôra, Shihoko [ÜbersetzerIn] ",Ingeboruku Bahhaman. Ôra Shihoko yaku,,Simultan,Suwa : Chôeisha,2004,,316 S.; 20 cm,,Japanisch,,,Shohan dai-1-satsu.,,,,,ISBN: 488629832X,"Text in japan. Sprache, In japan. Schr.",,,,,,,,,1752423-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04339400,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21364258140003338&context=L&vid=ONB&lang=de_DE
,Der gute Gott von Manhattan : Hörspiel; mit der Rede zur Verleihung des Hörspielpreises der Kriegsblinden: Die Wahrheit ist dem Menschen zumutbar,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann. Bilder von Liselotte Schwarz,,,Frankfurt : Wien : Büchergilde Gutenberg,1995,,78 S.; Ill.,,Deutsch,,,Lizenzausg..,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors;06.22 - Buchgestaltung,,ISBN: 3763243860,,,,,,,,,,1684452-C NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03675841,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21357293610003338&context=L&vid=ONB&lang=de_DE
,Ein Ort für Zufälle : Mit Zeichnungen v. Günter Grass,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,,,,Berlin : Wagenbach,1973,,65 S.,,,,Gesamttitel: Quarthefte 6,,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,,,,,,,,,,,995913-B.6 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC06378384,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218161130003338&context=L&vid=ONB&lang=de_DE
,"Gedichte, Erzählungen, Hörspiel, Essays","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München : Piper [u.a.],1964,,346 S.,,Deutsch,,Gesamttitel: Die Bücher der Neunzehn 111,Einmalige Sonderausg..,,GN 2946,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,,,,,,,,,,,863447-B.111 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC00024354,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218165540003338&context=L&vid=ONB&lang=de_DE
,Vierzig Gedichte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Klunker, Heinz [MitwirkendeR] ",Ingeborg Bachmann. Ausw. u. einf. Nachwort von Heinz Klunker,,,Kornwestheim : Europ. Bildungsgemeinschaft;Wien : Buchgemeinschaft Donauland [u.a.],1985,,95 S.; 21 cm,,Deutsch,,,Lizenzausg..,,,,,,Anmerkungen:  Literaturangaben ,,,,,,,,,1243781-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01298652,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21338723750003338&context=L&vid=ONB&lang=de_DE
,Anrufung des Großen Bären : Gedichte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2011,,80 S.,,Deutsch,,Gesamttitel: Serie Piper 7187,,Gedicht ; Erzählende Literatur: Gegenwartsliteratur ab 1945 ; Lyrik;Deutsch,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9783492271875; ISBN: 3492271871,,,,,,,,,,1952090-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08521934,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21327152810003338&context=L&vid=ONB&lang=de_DE
,"Die Wahrheit ist dem Menschen zumutbar : Essays, Reden, kleinere Schriften","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2011,,187 S.; 19 cm,,Deutsch,,Gesamttitel: [Piper Taschenbuch] 7257,Ungekürzte Taschenbuchausg..,Essay ; Rede;Deutsch,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9783492272575; ISBN: 3492272576,,,,,,,,,,1965035-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08819544,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21330384840003338&context=L&vid=ONB&lang=de_DE
,Darkness spoken : the collected poems,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Filkins, Peter [ÜbersetzerIn] ",Ingeborg Bachmann. Transl. & introd. by Peter Filkins. Forew. by Charles Simic,,,"Brookline, Mich. : Zephyr Press",2006,,"XXXIX, 644 S.; Ill.",,Englisch;Deutsch,,,1. ed..,Anthologie,,,,ISBN: 0939010844,Text dt. und engl.;Anmerkungen:  Bibliogr. I. Bachmann S. 642 - 644 ,,,,,,,,,1843455-B HAN MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05997854,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21228678670003338&context=L&vid=ONB&lang=de_DE
,Oeuvres,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,Arles : Actes Sud,2009,,746 S.; Ill.; 21 cm,,Französisch,,Gesamttitel:  Thesaurus,,Hörspiel ; Erzählung ; Essay;Deutsch o;Französisch ü,,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9782742785438,"Enth.: Lettres à Felician. Le passeur. La trentième année. Trois sentiers vers le lac. Franza. Requiem pour Fanny Goldmann. Berlin. Un lieu de hasards. Ce que j'ai vu et entendu à Rome. Le bon Dieu de Manhattan. Leçons de Francfort. Problèmes de poésie contemporaine",,,,,,,,,1917527-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC07919447,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21227713680003338&context=L&vid=ONB&lang=de_DE
,Enigma : selected poems,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Lyons, Mike [ÜbersetzerIn] ",Ingeborg Bachmann. Transl. by Mike Lyons ... Preface by Heinz Bachmann. Afterword by Hans Höller,,,"Riverside, Calif. : Ariadne Press",2011,,132 S.; 22 cm,,Englisch,,"Gesamttitel:  Studies in Austrian literature, culture, and thought : Translation series",,Gedicht;Deutsch o;Englisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9781572411814,Anmerkungen:  Literaturverz. S. 132 ,,,,,,,,,1975118-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08966084,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21314542910003338&context=L&vid=ONB&lang=de_DE
,Sämtliche Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,Wien : Buchgemeinschaft Donauland [u.a.],[1997],,486 S.; 21 cm,,Deutsch,,,,,,,,,,,,,,,,,,1481237-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01774637,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21341159010003338&context=L&vid=ONB&lang=de_DE
,"Das Buch Franza;Weitere Titel:  Requiem für Fanny Goldmann. Texte des ""Todesarten""-Projekts / Ingeborg Bachmann. Hrsg. von Monika Albrecht und Dirk Göttsche","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Albrecht, Monika [HerausgeberIn] ",,,,München [u.a.] : Piper,2004,Früher als: Serie Piper ; 1121. - Aus: Todesartenprojekt / Ingeborg Bachmann,"264, 264 S.; Ill.; 19 cm",,Deutsch,,Gesamttitel: Serie Piper 4241,Taschenbuchausg..,,GN 2949;GN 2947,,,ISBN: 3492242413,,,,,,,,,,1758894-B NEU MAG,,,,,,,Früher als: Serie Piper ; 1121. - Aus: Todesartenprojekt / Ingeborg Bachmann,,http://data.onb.ac.at/rec/AC04357048,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21364445320003338&context=L&vid=ONB&lang=de_DE
,Sämtliche Gedichte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2004,Früher als: Serie Piper ; 3985,229 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 4106,Jub.-Ed..,Gedicht,GN 2947,,,ISBN: 3492241069,,,,,,,,,,1743944-B NEU MAG,,,,,,,Früher als: Serie Piper ; 3985,,http://data.onb.ac.at/rec/AC04232642,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21363339200003338&context=L&vid=ONB&lang=de_DE
,Sämtliche Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2005,,487 S.,,Deutsch,,,Sonderausg..,Erzählung,,,,ISBN: 3492047300,,,,,,,,,,1772549-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04442884,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21365825780003338&context=L&vid=ONB&lang=de_DE
,Al- ʾĀm aṯ- ṯalāṯūn : qiṣaṣ,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Ṣāliḥ, Sālima [ÜbersetzerIn] ",Inġibūrġ Bāẖmān. Tarǧama: Sālima Ṣāliḥ,,,Kūlūniyā : Manšūrāt al-Ǧamal,1998,,184 S.; 22 cm,,Arabisch,,,Aṭ-Ṭabʾa 1.,,,,,,,,,,,,,,,1740738-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04067576,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21361435620003338&context=L&vid=ONB&lang=de_DE
,Der Fall Franza;Weitere Titel:  Requiem für Fanny Goldmann / Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,,,,München [u.a.] : Piper,1979,,192 S.,,Deutsch,,,,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 349202436X,,,,,,,,,,1162877-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05696078,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218163500003338&context=L&vid=ONB&lang=de_DE
,Undine geht : Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,Leipzig : Reclam,1973,,148 S.,,Deutsch,,Gesamttitel: Reclams Universal-Bibliothek 530 : Erzählende Prosa,1. Aufl..,,,,,,,,,,,,,,,1102092-A.530 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC03211556,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218165270003338&context=L&vid=ONB&lang=de_DE
,Frankfurter Vorlesungen : Probleme zeitgenössischer Dichtung,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München : Piper,1980,,104 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 205,,20th century ; History and criticism;History and criticism;1926-1973 ; Aesthetics;Literaturtheorie;Poetik;Geschichte 20. Jh.;Aufsatzsammlung,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492005055,,,,,,,,,,1066899-B.205 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC00873879,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218161040003338&context=L&vid=ONB&lang=de_DE
,Tre sentieri per il lago : e altri racconti,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Pandolfi, Amina [ÜbersetzerIn] ",Ingeborg Bachmann. [Trad. di Amina Pandolfi ...],,Simultan,Milano : Adelphi ed.,2005,,237 S.,,Italienisch,,Gesamttitel: Gli Adelphi 66,4. ed..,Erzählung;Deutsch o;Italienisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 8845910628,,,,,,,,,,1916340-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03235638,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21226697230003338&context=L&vid=ONB&lang=de_DE
